STATE_OR_REGION,1910_POPULATION,2010_POPULATION
Alabama,2138093,4779736
Alaska,64356,710231
Arizona,204354,6392017
Arkansas,1574449,2915918
California,2377549,37253956
Colorado,799024,5029196
Connecticut,1114756,3574097
Delaware,202322,897934
District of Columbia,331069,601723
Florida,752619,18801310
Georgia,2609121,9687653
Hawaii,191909,1360301
Idaho,325594,1567582
Illinois,5638591,12830632
Indiana,2700876,6483802
Iowa,2224771,3046355
Kansas,1690949,2853118
Kentucky,2289905,4339367
Louisiana,1656388,4533372
Maine,742371,1328361
Maryland,1295346,5773552
Massachusetts,3366416,6547629
Michigan,2810173,9883640
Minnesota,2075708,5303925
Mississippi,1797114,2967297
Missouri,3293335,5988927
Montana,376053,989415
Nebraska,1192214,1826341
Nevada,81875,2700551
New Hampshire,430572,1316470
New Jersey,2537167,8791894
New Mexico,327301,2059179
New York,9113614,19378102
North Carolina,2206287,9535483
North Dakota,577056,672591
Ohio,4767121,11536504
Oklahoma,1657155,3751351
Oregon,672765,3831074
Pennsylvania,7665111,12702379
Rhode Island,542610,1052567
South Carolina,1515400,4625364
South Dakota,583888,814180
Tennessee,2184789,6346105
Texas,3896542,25145561
Utah,373351,2763885
Vermont,355956,625741
Virginia,2061612,8001024
Washington,1141990,6724540
West Virginia,1221119,1852994
Wisconsin,2333860,5686986
Wyoming,145965,563626
Puerto Rico,1118012,3725789
